"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.626299375E1,3.217807055E0,1.501643276E1,1.547612000E1
2.626800000E1,3.217807055E0,1.501643276E1,1.547612000E1
2.627300625E1,4.558559895E0,1.685518074E1,1.444182491E1
2.627801094E1,5.324704647E0,1.827254677E1,1.340752983E1
2.628298438E1,5.746084213E0,1.907699966E1,1.290953541E1
2.628799063E1,5.746084213E0,1.949837875E1,1.348414421E1
2.629299531E1,4.826710701E0,1.965160751E1,1.528458405E1
2.629800156E1,3.179499865E0,1.926853561E1,1.762132454E1
2.630300625E1,3.179499865E0,1.926853561E1,2.007298660E1
2.630801250E1,9.193734527E-1,1.854069710E1,2.018790817E1
2.631298594E1,-1.455674648E0,1.750640297E1,2.240972710E1
2.631799219E1,-3.217807055E0,1.643379974E1,2.405693817E1
2.632299688E1,-4.367023945E0,1.555273438E1,2.501461983E1
2.632800313E1,-5.018246651E0,1.470997524E1,2.524446297E1
2.633300938E1,-5.018246651E0,1.398213768E1,2.509123421E1
2.633798438E1,-4.788403511E0,1.329260826E1,2.444001007E1
2.634298906E1,-4.137180328E0,1.287122822E1,2.309925842E1
2.634799375E1,-3.294421434E0,1.256477070E1,2.122220421E1
2.635300000E1,-2.451662540E0,1.214339066E1,1.869392776E1
2.635800469E1,-1.608903527E0,1.176031876E1,1.543781281E1
2.636301094E1,-8.810662031E-1,1.099417400E1,1.191354752E1
2.636798438E1,-3.447650373E-1,1.026633644E1,8.542511940E0
2.637299062E1,3.064578176E-1,9.538499832E0,5.401319027E0
2.637799688E1,8.044517636E-1,8.580819130E0,2.566584110E0
2.638300313E1,1.149216771E0,7.699752808E0,2.298433632E-1
2.638800781E1,1.493981838E0,6.665457726E0,-1.379060149E0
2.639298125E1,1.800439715E0,5.784391403E0,-2.221819162E0
2.639798750E1,2.183511972E0,4.903325081E0,-2.643198729E0
2.640299375E1,2.413355350E0,3.907337189E0,-2.643198729E0
2.640799844E1,2.566584110E0,3.064578056E0,-2.145204782E0
2.641300469E1,2.796427488E0,2.183511972E0,-1.379060149E0
2.641800938E1,3.179499865E0,1.340752959E0,-6.512228847E-1
2.642298438E1,3.869029999E0,6.895300746E-1,-1.149216816E-1
2.642798906E1,4.443638325E0,4.596867263E-1,1.149216816E-1
2.643299375E1,4.979939461E0,2.298433632E-1,2.298433632E-1
2.643800000E1,5.324704647E0,2.298433632E-1,3.830722719E-2
2.644300625E1,5.631162167E0,1.915361285E-1,-7.661445439E-2
2.644801094E1,5.822698593E0,3.447650373E-1,-1.915361285E-1
2.645298594E1,6.052541733E0,6.512228847E-1,-4.979939461E-1
2.645799062E1,6.090848923E0,9.576807022E-1,-8.810662031E-1
2.646299688E1,6.282385349E0,1.302445769E0,-1.379060149E0
2.646800313E1,6.282385349E0,1.647210717E0,-1.953668594E0
2.647300938E1,6.473921299E0,2.030282974E0,-2.413355350E0
2.647798281E1,6.550535679E0,2.336740971E0,-2.566584110E0
2.648298750E1,6.588842869E0,2.643198729E0,-2.604891539E0
