"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.849990625E0,1.777300000E0,-8.623999953E-1,-3.637999892E-1
1.860000000E0,1.706599951E0,-1.415799975E0,-2.023999989E-1
1.869979688E0,1.412500024E0,-1.906799912E0,3.060999811E-1
1.879992188E0,9.386000037E-1,-2.301699877E0,8.892999887E-1
1.890003125E0,4.399999976E-1,-2.688299894E0,9.230999947E-1
1.899982813E0,1.420999914E-1,-2.766299963E0,3.725000024E-1
1.909993750E0,-1.251000017E-1,-2.705799818E0,-6.014999747E-1
1.919973438E0,-1.780999899E-1,-2.582599878E0,-1.450500011E0
1.929984375E0,-3.810000047E-2,-2.349200010E0,-1.942599893E0
1.939995313E0,3.271999955E-1,-2.126600027E0,-1.723799944E0
1.949975000E0,3.713999987E-1,-1.801099896E0,-9.897999763E-1
1.959985938E0,4.566999972E-1,-1.409600019E0,4.536999762E-1
1.969998438E0,4.348999858E-1,-1.208899975E0,2.131799936E0
1.979976563E0,2.727999985E-1,-1.142499924E0,3.099099874E0
1.989990625E0,1.600999981E-1,-1.169799924E0,3.121399879E0
2.000001563E0,1.459999941E-2,-1.137199998E0,2.004400015E0
2.009979688E0,5.829999968E-2,-1.057399988E0,4.974999726E-1
2.019990625E0,2.107999921E-1,-8.669999838E-1,-1.279299974E0
2.030001563E0,5.087000132E-1,-8.502999544E-1,-2.540599823E0
2.039981250E0,1.171700001E0,-6.985999942E-1,-2.931200027E0
2.049992188E0,1.808099985E0,-4.061999917E-1,-1.431699991E0
2.059971875E0,2.172899961E0,-5.336999893E-1,1.480899930E0
2.069982813E0,2.320299864E0,-5.746999979E-1,4.627699852E0
2.079995313E0,2.420899868E0,-8.004999757E-1,7.103799820E0
2.089975000E0,2.586799860E0,-1.240199924E0,8.478300095E0
2.099985938E0,2.459100008E0,-1.944599986E0,8.870699883E0
2.109996875E0,1.876500010E0,-2.084800005E0,8.242599487E0
2.119976563E0,1.289899945E0,-1.750599980E0,6.243399620E0
2.129987500E0,5.389999747E-1,-9.131999612E-1,3.931299925E0
2.139998438E0,-2.139999904E-2,2.211999893E-1,2.638900042E0
2.149978125E0,-3.053999841E-1,1.537499905E0,2.482300043E0
2.159989063E0,-9.933999777E-1,3.109999895E0,3.654099941E0
2.170000000E0,-1.296999931E0,3.492899895E0,6.508299828E0
2.179979688E0,-1.189299941E0,2.692999840E0,9.242899895E0
2.189992188E0,-1.371399999E0,1.467999935E0,1.118959999E1
2.200001563E0,-1.172799945E0,5.739999935E-2,1.082380009E1
2.209982813E0,-5.730999708E-1,-1.230499983E0,8.618800163E0
2.219993750E0,-3.527999818E-1,-1.375699997E0,5.162699699E0
2.229973438E0,-2.335999906E-1,-8.312000036E-1,2.063299894E0
2.239984375E0,2.239999920E-2,-2.671000063E-1,-5.228999853E-1
2.249995313E0,5.297999978E-1,3.163000047E-1,-2.674099922E0
2.259975000E0,5.643000007E-1,9.185999632E-1,-4.432399750E0
2.269985938E0,2.988999784E-1,1.541399956E0,-5.564799786E0
2.279998438E0,-3.285000026E-1,1.797499895E0,-6.230899811E0
2.289978125E0,-2.667999864E-1,1.739799976E0,-6.233299732E0
2.299989063E0,-9.154999852E-1,1.723199964E0,-6.593699932E0
2.310000000E0,-1.615099907E0,1.426899910E0,-6.565000057E0
2.319978125E0,-2.365799904E0,1.125800014E0,-6.381700039E0
2.329990625E0,-2.627499819E0,7.360999584E-1,-6.198199749E0
2.340001563E0,-2.896800041E0,4.783999920E-1,-5.896499634E0
2.349981250E0,-2.608000040E0,3.711999953E-1,-5.863100052E0
2.359992188E0,-2.136299849E0,1.612000018E-1,-5.978299618E0
2.369971875E0,-1.792400002E0,6.300000101E-2,-6.361299992E0
2.379982813E0,-1.545599937E0,9.849999845E-2,-6.975699902E0
2.389995313E0,-1.278299928E0,1.655000001E-1,-7.589599609E0
2.399975000E0,-1.096199989E0,2.349999994E-1,-8.206699371E0
2.409985938E0,-1.166599989E0,4.713999927E-1,-8.554900169E0
2.419996875E0,-1.309700012E0,6.541000009E-1,-8.507699966E0
2.429976563E0,-1.674399972E0,7.074999809E-1,-8.403999329E0
2.439987500E0,-2.129899979E0,7.242999673E-1,-7.949100018E0
2.449998438E0,-2.321899891E0,3.610000014E-1,-7.348199844E0
2.459978125E0,-1.999699950E0,-2.118999958E-1,-6.326099873E0
2.469989063E0,-1.579699993E0,-8.208999634E-1,-4.866399765E0
2.480000000E0,-1.267099977E0,-1.314000010E0,-3.157099962E0
2.489979688E0,-6.990000010E-1,-1.841799974E0,-1.094799995E0
2.499992188E0,4.549999908E-2,-2.082799911E0,1.262499928E0
2.510003125E0,7.236999869E-1,-2.062799931E0,3.244799852E0
2.519982813E0,1.462000012E0,-2.202399969E0,4.379600048E0
2.529993750E0,1.696499944E0,-2.182499886E0,3.889599800E0
2.539973438E0,1.561800003E0,-1.863899946E0,1.394699931E0
2.549984375E0,1.521999955E0,-1.524099946E0,-1.912699938E0
2.559995313E0,1.415399909E0,-6.947999597E-1,-4.726699829E0
2.569975000E0,1.832099915E0,-1.114999950E-1,-5.488999844E0
2.579985938E0,1.957199931E0,1.078599930E0,-4.933199883E0
2.589998438E0,1.976799965E0,1.953699946E0,-1.666700006E0
2.599978125E0,2.404199839E0,1.294199944E0,2.983399868E0
2.609989063E0,3.148200035E0,-1.683000028E-1,7.216599941E0
2.620000000E0,4.345299721E0,-2.003099918E0,9.309999466E0
2.629979688E0,5.105299950E0,-3.601099968E0,9.201899529E0
2.639990625E0,5.203899860E0,-4.112699986E0,6.745599747E0
2.650001563E0,4.771899700E0,-3.813599825E0,3.555299997E0
2.659981250E0,4.370299816E0,-3.355000019E0,1.337499976E0
2.669992188E0,3.722399950E0,-2.881999969E0,2.789999843E-1
2.679971875E0,2.970299959E0,-2.457299948E0,5.670999885E-1
2.689982813E0,1.810499907E0,-1.846699953E0,1.455699921E0
2.699995313E0,1.170199990E0,-1.556800008E0,2.392199993E0
2.709975000E0,6.683999896E-1,-1.394799948E0,2.827299833E0
2.719985938E0,1.490999907E-1,-1.134099960E0,2.878599882E0
2.729996875E0,-3.935999870E-1,-1.084299922E0,2.386899948E0
2.739976563E0,-6.101999879E-1,-1.058899999E0,1.666099906E0
2.749987500E0,-4.298999906E-1,-1.056100011E0,6.757000089E-1
2.760000000E0,5.689999834E-2,-9.196999669E-1,-7.020999789E-1
2.769978125E0,5.407999754E-1,-7.366999984E-1,-2.192199945E0
2.779989063E0,9.302999973E-1,-5.345999599E-1,-3.481699944E0
2.790001563E0,1.253899932E0,-3.651999831E-1,-4.297999859E0
2.799979688E0,1.371299982E0,-3.289999962E-1,-4.486399651E0
2.809992188E0,1.292400002E0,-1.332999915E-1,-4.245399952E0
2.819971875E0,9.325000048E-1,1.399999950E-2,-3.341099977E0
2.829982813E0,4.053999782E-1,6.049999967E-2,-1.854099989E0
2.839993750E0,-2.567999959E-1,1.039999947E-1,-3.292999864E-1
2.849973438E0,-8.869999647E-1,1.990000010E-1,1.353699923E0
2.859984375E0,-1.130900025E0,1.612999886E-1,2.958600044E0
2.869995313E0,-6.715999842E-1,-2.180000022E-2,4.130099773E0
2.879975000E0,3.455999792E-1,-7.198999524E-1,4.635099888E0
2.889985938E0,2.202999890E-1,-8.923999667E-1,4.273499966E0
2.899998438E0,-8.371999860E-1,-5.652999878E-1,3.161999941E0
2.909978125E0,-1.887899995E0,-2.412999868E-1,2.479300022E0
2.919989063E0,-2.264799833E0,7.240999937E-1,2.858999968E0
2.930000000E0,-2.038300037E0,1.398599982E0,4.224899769E0
2.939979688E0,-1.397899985E0,1.500499964E0,6.968400002E0
2.949990625E0,-7.555999756E-1,1.532899976E0,1.057709980E1
2.960001563E0,-4.099999964E-1,9.268999696E-1,1.379329967E1
2.969981250E0,1.388999969E-1,2.331999987E-1,1.481250000E1
2.979992188E0,8.836999536E-1,-5.191000104E-1,1.343949986E1
2.989973438E0,1.371799946E0,-6.093999743E-1,1.026379967E1
2.999982813E0,1.660300016E0,-2.849999964E-1,6.697199821E0
3.009995313E0,1.802199960E0,1.812999994E-1,3.405699968E0
3.019975000E0,1.764299989E0,5.227999687E-1,7.805999517E-1
3.029985938E0,1.625699997E0,9.345999956E-1,-1.452700019E0
3.039996875E0,1.273800015E0,1.337000012E0,-3.294799805E0
3.049976563E0,8.231999874E-1,1.762699962E0,-4.823499680E0
3.059987500E0,4.339999706E-2,1.947099924E0,-5.882299900E0
3.069998438E0,-7.971999645E-1,1.893700004E0,-6.431499958E0
3.079978125E0,-1.320599914E0,1.794299960E0,-6.508999825E0
3.089990625E0,-1.540300012E0,1.723199964E0,-6.741299629E0
3.100001563E0,-1.579699993E0,1.527799964E0,-6.853699684E0
3.109981250E0,-1.472499967E0,1.435099959E0,-7.120399952E0
3.119992188E0,-1.315099955E0,1.057699919E0,-7.306999683E0
3.129971875E0,-1.011600018E0,7.676999569E-1,-7.567699909E0
3.139982813E0,-9.821999669E-1,3.531999886E-1,-7.825199604E0
3.149993750E0,-1.064999938E0,2.979999967E-2,-8.120800018E0
3.159973438E0,-1.225600004E0,-2.032999992E-1,-8.102099419E0
3.169984375E0,-1.553499937E0,-3.651999831E-1,-8.009099960E0
3.179996875E0,-2.016900063E0,-5.475999713E-1,-7.879999638E0
3.189975000E0,-2.620599985E0,-7.091999650E-1,-7.629899979E0
3.199985938E0,-2.927899837E0,-7.957999706E-1,-7.252599716E0
3.209998438E0,-3.127699852E0,-8.265999556E-1,-6.769399643E0
3.219976563E0,-2.956899881E0,-8.356999755E-1,-6.511199951E0
3.229989063E0,-2.606400013E0,-1.028299928E0,-6.247900009E0
3.240000000E0,-2.122999907E0,-1.312500000E0,-5.380499840E0
3.249979688E0,-1.556999922E0,-1.642300010E0,-3.936299801E0
3.259990625E0,-6.963999867E-1,-1.608999968E0,-2.553799868E0
3.270001563E0,-1.840000004E-1,-1.606599927E0,-9.052999616E-1
3.279981250E0,3.449999988E-1,-1.646099925E0,1.161199927E0
3.289992188E0,3.482999802E-1,-1.636500001E0,3.162299871E0
3.299973438E0,2.612999976E-1,-1.039899945E0,4.671899796E0
3.309984375E0,4.052999914E-1,1.661999971E-1,4.822299957E0
3.319995313E0,9.388999939E-1,1.363099933E0,3.311899900E0
3.329975000E0,2.091500044E0,2.410799980E0,2.206500053E0
3.339985938E0,3.756199837E0,2.835099936E0,2.244699955E0
3.349996875E0,4.349699974E0,3.212999821E0,2.941699982E0
3.359976563E0,4.861099720E0,2.352799892E0,4.920399666E0
3.369987500E0,5.085000038E0,1.115999937E0,6.943699837E0
3.379998438E0,4.602099895E0,-7.239999622E-2,8.800000191E0
3.389978125E0,3.887499809E0,-9.430999756E-1,1.007929993E1
3.399990625E0,3.816299915E0,-1.489699960E0,1.063039970E1
3.410001563E0,4.296199799E0,-2.009199858E0,1.002610016E1
3.419981250E0,4.660399914E0,-2.204599857E0,8.622900009E0
3.429992188E0,4.602900028E0,-2.049900055E0,6.658299923E0
3.439971875E0,5.220599651E0,-2.064699888E0,6.548699856E0
3.449982813E0,5.707399845E0,-2.063699961E0,4.691099644E0
3.459993750E0,5.798299789E0,-2.188499928E0,3.199699879E0
3.469973438E0,5.433899879E0,-2.272599936E0,1.875699997E0
3.479984375E0,4.740399837E0,-2.464400053E0,1.264299989E0
3.489995313E0,3.838999987E0,-2.726199865E0,8.147999644E-1
3.499976563E0,3.151199818E0,-2.945799828E0,6.060000062E-1
3.509985938E0,2.715299845E0,-3.040499926E0,3.222999871E-1
3.519998438E0,2.512799978E0,-3.362099886E0,4.360000044E-2
3.529978125E0,2.688699961E0,-3.606999874E0,-3.828999996E-1
3.539989063E0,2.948400021E0,-3.931699991E0,-1.149099946E0
3.550000000E0,3.207899809E0,-4.391699791E0,-2.214900017E0
3.559979688E0,3.364499807E0,-4.572999954E0,-3.228799820E0
3.569990625E0,3.024199963E0,-4.509699821E0,-4.352799892E0
3.580001563E0,3.137499809E0,-4.436500072E0,-5.234099865E0
3.589981250E0,2.981999874E0,-4.255899906E0,-5.562999725E0
3.599993750E0,1.998199940E0,-3.474599838E0,-5.846399784E0
3.609973438E0,9.557999969E-1,-2.641799927E0,-6.120699883E0
3.619984375E0,1.190999970E-1,-1.847999930E0,-5.602099895E0
3.629995313E0,1.085999981E-1,-1.701999903E0,-4.821499825E0
3.639975000E0,4.445999861E-1,-1.497499943E0,-3.380599976E0
3.649985938E0,6.552000046E-1,-1.196299911E0,-1.452000022E0
3.659996875E0,9.437999725E-1,-1.004400015E0,1.054399967E0
3.669976563E0,1.609099984E0,-1.302299976E0,4.396299839E0
3.679987500E0,1.574999928E0,-1.235899925E0,7.414799690E0
3.689998438E0,1.631999969E0,-1.145299911E0,9.029299736E0
3.699978125E0,1.118299961E0,1.817999929E-1,8.713600159E0
3.709990625E0,7.729999721E-2,2.146699905E0,6.523699760E0
3.720001563E0,-8.096999526E-1,4.763799667E0,4.154599667E0
3.729981250E0,-1.312199950E0,7.498099804E0,3.489300013E0
3.739992188E0,-1.352100015E0,9.533199310E0,3.911199808E0
3.749971875E0,-1.003000021E0,1.051439953E1,4.807799816E0
3.759982813E0,-7.558999658E-1,1.060229969E1,5.908099651E0
3.769993750E0,-7.549999952E-1,9.679100037E0,6.819299698E0
3.779973438E0,-9.559999704E-1,8.433699608E0,6.871599674E0
3.789984375E0,-1.399899960E0,7.178400040E0,5.866799831E0
3.799996875E0,-1.895199895E0,6.208600044E0,4.041800022E0
3.809976563E0,-2.107599974E0,5.707599640E0,1.524099946E0
3.819987500E0,-1.944399953E0,5.284399986E0,-1.165699959E0
3.829998438E0,-1.668699980E0,4.628099918E0,-3.523799896E0
3.839978125E0,-1.403299928E0,3.824100018E0,-5.001399994E0
3.849989063E0,-8.273999691E-1,2.825000048E0,-5.870699883E0
3.860000000E0,-7.547999620E-1,2.055500031E0,-6.805699825E0
3.869979688E0,-1.251399994E0,1.268999934E0,-7.888999939E0
3.879990625E0,-1.819999933E0,1.706999987E-1,-9.085999489E0
3.890001563E0,-2.562500000E0,-8.967999816E-1,-1.008430004E1
3.899981250E0,-3.091599941E0,-1.707999945E0,-1.052359962E1
3.909992188E0,-3.554199934E0,-2.314899921E0,-9.967499733E0
3.919973438E0,-3.405999899E0,-2.604099989E0,-9.132999420E0
3.929984375E0,-2.843099833E0,-2.888200045E0,-8.544899940E0
3.939995313E0,-2.397300005E0,-2.904199839E0,-8.498299599E0
